COUNTY,CITY
 LIBERTY , LIBERTY
 LIMESTONE , COOLIDGE
 LIMESTONE , GROESBECK
 LIMESTONE , KOSSE
 LIMESTONE , MEXIA
 LIMESTONE , PERSONVILLE
 LIMESTONE , TEHUACANA
 LIMESTONE , THORNTON
 LIPSCOMB , BOOKER
 LIPSCOMB , DARROUZETT
 LIPSCOMB , FOLLETT
 LIPSCOMB , HIGGINS
 LIPSCOMB , LIPSCOMB
 LIVE OAK , GEORGE WEST
 LIVE OAK , THREE RIVERS
 LLANO , BUCHANAN DAM
 LLANO , CASTELL
 LLANO , KINGSLAND
 LLANO , LLANO
 LLANO , SUNRISE BEACH VILLAGE
 LLANO , TOW
 LLANO , VALLEY SPRING
 LOVING , MENTONE
 LUBBOCK , ABERNATHY
 LUBBOCK , IDALOU
 LUBBOCK , LUBBOCK
 LUBBOCK , NEW DEAL
 LUBBOCK , RANSOM CANYON
 LUBBOCK , REESE VILLAGE
 LUBBOCK , SHALLOWATER
 LUBBOCK , SLATON
 LUBBOCK , WOLFFORTH
 LYNN , NEW HOME
 LYNN , O'DONNELL
 LYNN , TAHOKA
 LYNN , WILSON
 MADISON , MADISONVILLE
 MADISON , MIDWAY
 MADISON , NORTH ZULCH
 MARION , JEFFERSON
 MARTIN , LENORAH
 MARTIN , STANTON
 MARTIN , TARZAN
 MASON , ART
 MASON , FREDONIA
 MASON , MASON
 MASON , PONTOTOC
 MATAGORDA , BAY CITY
 MATAGORDA , MARKHAM
 MATAGORDA , MATAGORDA
 MATAGORDA , PALACIOS
 MATAGORDA , VAN VLECK
 MAVERICK , EAGLE PASS
 MAVERICK , QUEMADO
 MCCULLOCH , BRADY
 MCCULLOCH , DOOLE
 MCCULLOCH , LOHN
 MCCULLOCH , MELVIN
 MCCULLOCH , PEAR VALLEY
 MCCULLOCH , ROCHELLE
 MCCULLOCH , VOCA
 MCLENNAN , AXTELL
 MCLENNAN , BELLMEAD
 MCLENNAN , BEVERLY HILLS
 MCLENNAN , CHINA SPRINGS
 MCLENNAN , CRAWFORD
 MCLENNAN , ELM MOTT
 MCLENNAN , GHOLSON
 MCLENNAN , HALLSBURG
 MCLENNAN , HEWITT
 MCLENNAN , LACY
 MCMULLEN , CALLIHAM
 MCMULLEN , TILDEN
 MEDINA , CASTROVILLE
 MEDINA , DEVINE
 MEDINA , D'HANIS
 MEDINA , HONDO
 MEDINA , MICO
 MEDINA , NATALIA
 MENARD , FORT MCKAVETT
 MENARD , MENARD
 MIDLAND , MIDLAND 
 MILAM , BUCKHOLTS
 MILAM , BURLINGTON
 MILAM , CAMERON
 MILAM , DAVILLA
